# util_output: detail

# resource	operation	var	loadBucket	startBucket	bktLength	rate	load
1361_1361_ATTCAP-x-1361_1361_ATTCAP	00790908_1361_M-at-1361-187721	OP053220T003	2017-06-01	2017-06-01	 15	 2000	 1286000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	54400908_1361_M-at-1361-187727	OP113512T003	2017-06-01	2017-06-01	 15	 2000	 542000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	00790908_1361_M-at-1361-187721	OP053220T004	2017-06-16	2017-06-16	 15	 2000	 1014000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	54400908_1361_M-at-1361-187727	OP113512T004	2017-06-16	2017-06-16	 15	 2000	 250000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	00790908_1361_M-at-1361-187721	OP053220T005	2017-07-01	2017-07-01	 15	 2000	 1160000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	54400908_1361_M-at-1361-187727	OP113512T005	2017-07-01	2017-07-01	 15	 2000	 302000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	00790908_1361_M-at-1361-187721	OP053220T006	2017-07-16	2017-07-16	 16	 2000	 1364000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	54400908_1361_M-at-1361-187727	OP113512T006	2017-07-16	2017-07-16	 16	 2000	 324000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	00790908_1361_M-at-1361-187721	OP053220T007	2017-08-01	2017-08-01	 15	 2000	 956000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	54400908_1361_M-at-1361-187727	OP113512T007	2017-08-01	2017-08-01	 15	 2000	 284000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	00790908_1361_M-at-1361-187721	OP053220T008	2017-08-16	2017-08-16	 16	 2000	 1508000
1361_1361_ATTCAP-x-1361_1361_ATTCAP	54400908_1361_M-at-1361-187727	OP113512T008	2017-08-16	2017-08-16	 16	 2000	 332000

1352_G79-x-1352_G79	00790908_1352_M-at-1352-187248	OP315325T001	2017-05-01	2017-05-01	 15	 0.40000001	 288
1352_G79-x-1352_G79	00790908_1352_M-at-1352-187248	OP315325T002	2017-05-16	2017-05-16	 16	 0.40000001	 224
1352_G79-x-1352_G79	00790908_1352_M-at-1352-187248	OP315325T003	2017-06-01	2017-06-01	 15	 0.40000001	 140.3999939
1352_G79-x-1352_G79	54400908_1352_M-at-1352-187252	OP377317T003	2017-06-01	2017-06-01	 15	 0.40000001	 39.59999847
1352_G79-x-1352_G79	00790908_1352_M-at-1352-187248	OP315325T004	2017-06-16	2017-06-16	 15	 0.40000001	 151.6000061
1352_G79-x-1352_G79	54400908_1352_M-at-1352-187252	OP377317T004	2017-06-16	2017-06-16	 15	 0.40000001	 10.80000019
1352_G79-x-1352_G79	00790908_1352_M-at-1352-187248	OP315325T005	2017-07-01	2017-07-01	 15	 0.40000001	 182
1352_G79-x-1352_G79	54400908_1352_M-at-1352-187252	OP377317T005	2017-07-01	2017-07-01	 15	 0.40000001	 12.80000019
1352_G79-x-1352_G79	00790908_1352_M-at-1352-187248	OP315325T006	2017-07-16	2017-07-16	 16	 0.40000001	 255.6000061
